Home Team,Away Team,Kick Off,Stadium,Competition,SkySportsURL
Cardiff City,Ipswich Town,2024-03-09 15:00:00,Cardiff City Stadium, Sky Bet Championship,https://www.skysports.com/football/cardiff-city-vs-ipswich-town/485136
Ipswich Town,Sheffield Wednesday,2024-03-16 15:00:00,Portman Road, Sky Bet Championship,https://www.skysports.com/football/ipswich-town-vs-sheffield-wednesday/485148
Blackburn Rovers,Ipswich Town,2024-03-29 15:00:00,Ewood Park, Sky Bet Championship,https://www.skysports.com/football/blackburn-rovers-vs-ipswich-town/485158
Ipswich Town,Southampton,2024-04-01 15:00:00,Portman Road, Sky Bet Championship,https://www.skysports.com/football/ipswich-town-vs-southampton/485172
Norwich City,Ipswich Town,2024-04-06 15:00:00,Carrow Road, Sky Bet Championship,https://www.skysports.com/football/norwich-city-vs-ipswich-town/485188
Ipswich Town,Watford,2024-04-10 19:45:00,Portman Road, Sky Bet Championship,https://www.skysports.com/football/ipswich-town-vs-watford/485203
Ipswich Town,Middlesbrough,2024-04-13 15:00:00,Portman Road, Sky Bet Championship,https://www.skysports.com/football/ipswich-town-vs-middlesbrough/485209
Coventry City,Ipswich Town,2024-04-20 15:00:00,The Coventry Building Society Arena, Sky Bet Championship,https://www.skysports.com/football/coventry-city-vs-ipswich-town/485220
Hull City,Ipswich Town,2024-04-27 15:00:00,MKM Stadium, Sky Bet Championship,https://www.skysports.com/football/hull-city-vs-ipswich-town/485234
Ipswich Town,Huddersfield Town,2024-05-04 15:00:00,Portman Road, Sky Bet Championship,https://www.skysports.com/football/ipswich-town-vs-huddersfield-town/485244
